date,region,positive
6/15/2020,AB,7421
6/16/2020,AB,7468
6/17/2020,AB,7514
6/18/2020,AB,7561
6/19/2020,AB,7609
6/20/2020,AB,7641
6/21/2020,AB,7680
6/22/2020,AB,7718
6/23/2020,AB,7764
6/24/2020,AB,7791
6/25/2020,AB,7828
6/26/2020,AB,7896
6/27/2020,AB,7935
6/28/2020,AB,8003
6/29/2020,AB,8048
6/30/2020,AB,8082
7/1/2020,AB,8146
7/2/2020,AB,8204
7/3/2020,AB,8235
7/4/2020,AB,8284
7/5/2020,AB,8333
7/6/2020,AB,8380
7/7/2020,AB,8423
7/8/2020,AB,8466
7/9/2020,AB,8540
7/10/2020,AB,8605
7/11/2020,AB,8695
7/12/2020,AB,8773
7/13/2020,AB,8861
7/14/2020,AB,8946
7/15/2020,AB,9064
7/16/2020,AB,9165
7/17/2020,AB,9333
7/18/2020,AB,9437
7/19/2020,AB,9529
7/20/2020,AB,9662
7/21/2020,AB,9798
7/22/2020,AB,9906
7/23/2020,AB,10021
7/24/2020,AB,10140
7/25/2020,AB,10238
7/26/2020,AB,10328
7/27/2020,AB,10411
7/28/2020,AB,10544
7/29/2020,AB,10663
7/30/2020,AB,10789
7/31/2020,AB,10890
8/1/2020,AB,10958
8/2/2020,AB,11031
8/3/2020,AB,11095
8/4/2020,AB,11191
8/5/2020,AB,11252
8/6/2020,AB,11383
8/7/2020,AB,11499
8/8/2020,AB,11599
8/9/2020,AB,11647
8/10/2020,AB,11734
8/11/2020,AB,11850
8/12/2020,AB,11925
8/13/2020,AB,12009
8/14/2020,AB,12111
8/15/2020,AB,12196
8/16/2020,AB,12296
8/17/2020,AB,12382
8/18/2020,AB,12464
8/19/2020,AB,12566
8/20/2020,AB,12706
8/21/2020,AB,12794
8/22/2020,AB,12900
8/23/2020,AB,12969
8/24/2020,AB,13043
8/25/2020,AB,13169
8/26/2020,AB,13276
8/27/2020,AB,13432
8/28/2020,AB,13575
8/29/2020,AB,13761
8/30/2020,AB,13870
8/31/2020,AB,14024
9/1/2020,AB,14138
9/2/2020,AB,14268
9/3/2020,AB,14422
9/4/2020,AB,14591
9/5/2020,AB,14761
9/6/2020,AB,14897
9/7/2020,AB,15044
9/8/2020,AB,15142
9/9/2020,AB,15256
9/10/2020,AB,15373
9/11/2020,AB,15491
9/12/2020,AB,15660
9/13/2020,AB,15800
9/14/2020,AB,15924
9/15/2020,AB,16097
9/16/2020,AB,16243
9/17/2020,AB,16345
9/18/2020,AB,16462
9/19/2020,AB,16562
9/20/2020,AB,16684
9/21/2020,AB,16820
